日期,基金日收益率,指数日收益率,日无风险利率,基金日超额收益率,指数日超额收益率,节假日天数
2022-01-04,0.040999999999999925,-0.004576172411910662,4.1095890410958905e-05,0.04095890410958897,-0.004617268302321621,1
2022-01-05,-0.0018251681075888149,-0.010095052726489362,4.1095890410958905e-05,-0.0018662639979997737,-0.01013614861690032,1
2022-01-06,-9.623712828410458e-05,-0.010247980318974226,4.1095890410958905e-05,-0.0001373330186950635,-0.010289076209385184,1
2022-01-07,-0.0012512030798843554,0.0008586344891088338,0.0001232876712328767,-0.0013744907511172321,0.0007353468178759571,3
2022-01-10,0.0020237062734893563,0.004494927793682546,4.1095890410958905e-05,0.0019826103830783972,0.004453831903271587,1
2022-01-11,-0.0005770340450087508,-0.009552264490683582,4.1095890410958905e-05,-0.0006181299354197097,-0.00959336038109454,1
2022-01-12,0.001347190146266497,0.009964038527454422,4.1095890410958905e-05,0.0013060942558555382,0.009922942637043464,1
2022-01-13,-0.0002882952142994055,-0.016439646310976275,4.1095890410958905e-05,-0.0003293911047103644,-0.016480742201387233,1
2022-01-14,0.0009612611746609989,-0.008222422407463847,0.0001232876712328767,0.0008379735034281222,-0.008345710078696724,3
2022-01-17,0.0015365408623835286,0.008577702855442348,4.1095890410958905e-05,0.0014954449719725698,0.00853660696503139,1
2022-01-18,0.0002876594112570796,0.009664008978544247,4.1095890410958905e-05,0.0002465635208461207,0.00962291308813329,1
2022-01-19,0.0008627300613497368,-0.00684945395171177,4.1095890410958905e-05,0.0008216341709387779,-0.006890549842122729,1
2022-01-20,-0.001245091466334669,0.009022444750399039,4.1095890410958905e-05,-0.0012861873567456279,0.00898134885998808,1
2022-01-21,-0.0004794783275795522,-0.009162395899698916,0.0001232876712328767,-0.0006027659988124289,-0.009285683570931793,3
2022-01-24,0.002398541686654543,0.0015532563228422003,4.1095890410958905e-05,0.0023574457962435838,0.0015121604324312414,1
2022-01-25,-0.0004785604900459095,-0.022622213036657346,4.1095890410958905e-05,-0.0005196563804568684,-0.022663308927068304,1
2022-01-26,-0.001819400555395978,0.007237395299482863,4.1095890410958905e-05,-0.0018604964458069368,0.007196299409071904,1
2022-01-27,-0.00297390636991568,-0.01961551390847327,4.1095890410958905e-05,-0.003015002260326639,-0.019656609798884228,1
2022-01-28,0.0027903396516888446,-0.012144155801567469,0.00041095890410958907,0.0023793807475792554,-0.012555114705677058,10
2022-02-07,0.0024947227019764817,0.01540784684248031,4.1095890410958905e-05,0.0024536268115655227,0.015366750952069352,1
2022-02-08,-0.0003828483920367276,-0.00546320864426908,4.1095890410958905e-05,-0.0004239442824476865,-0.005504304534680039,1
2022-02-09,0.0013404825737266535,0.009392521814212351,4.1095890410958905e-05,0.0012993866833156946,0.009351425923801393,1
2022-02-10,-0.00047810288774163823,-0.0026221496799407884,4.1095890410958905e-05,-0.0005191987781525972,-0.0026632455703517475,1
2022-02-11,-0.002869989476705137,-0.008290590507800566,0.0001232876712328767,-0.0029932771479380138,-0.008413878179033442,3
2022-02-14,-0.0014391250119927257,-0.010802701519689095,4.1095890410958905e-05,-0.0014802209024036845,-0.010843797410100053,1
2022-02-15,0.0002882398155263921,0.010636647794692866,4.1095890410958905e-05,0.0002471439251154332,0.010595551904281908,1
2022-02-16,0.002593410815483699,0.003888348140068665,4.1095890410958905e-05,0.0025523149250727397,0.0038472522496577058,1
2022-02-17,0.00019160758766045838,0.0024200142689805304,4.1095890410958905e-05,0.00015051169724949947,0.0023789183785695714,1
2022-02-18,0.0007662835249040434,0.0047677929986897905,0.0001232876712328767,0.0006429958536711667,0.004644505327456914,3
2022-02-21,-9.57120980091819e-05,-0.0036381083926126934,4.1095890410958905e-05,-0.0001368079884201408,-0.0036792042830236524,1
2022-02-22,-0.0015315401550685115,-0.012981726896759138,4.1095890410958905e-05,-0.0015726360454794703,-0.013022822787170096,1
2022-02-23,0.0013421531972006573,0.01068914905267615,4.1095890410958905e-05,0.0013010573067896985,0.010648053162265192,1
2022-02-24,-0.001531833413116357,-0.020273990322182578,4.1095890410958905e-05,-0.0015729293035273157,-0.020315086212593536,1
2022-02-25,0.0009588647041902654,0.009737843806935098,0.0001232876712328767,0.0008355770329573887,0.009614556135702222,3
2022-02-28,0.0006705623143978823,0.0017976025712198584,4.1095890410958905e-05,0.0006294664239869233,0.0017565066808088996,1
2022-03-01,9.573042312838176e-05,0.008302758622179773,4.1095890410958905e-05,5.463453271742285e-05,0.008261662731768815,1
2022-03-02,-0.0005743275581505669,-0.008893569437681714,4.1095890410958905e-05,-0.0006154234485615258,-0.008934665328092672,1
2022-03-03,-0.0013408677329758145,-0.005890970138540341,4.1095890410958905e-05,-0.0013819636233867733,-0.0059320660289513,1
2022-03-04,-0.0010549534861415966,-0.012127132613179437,0.0001232876712328767,-0.0011782411573744733,-0.012250420284412313,3
2022-03-07,-0.0027841781874040628,-0.03194814481826358,4.1095890410958905e-05,-0.002825274077815022,-0.03198924070867454,1
2022-03-08,-0.0025994031000288187,-0.020076031912956815,4.1095890410958905e-05,-0.0026404989904397777,-0.020117127803367774,1
2022-03-09,-0.001544401544401608,-0.009153838417157889,4.1095890410958905e-05,-0.0015854974348125668,-0.009194934307568847,1
2022-03-10,-9.667440061866817e-05,0.01573252527839486,4.1095890410958905e-05,-0.00013777029102962708,0.015691429387983902,1
2022-03-11,0.0007734699796964062,0.0031877051760684783,0.0001232876712328767,0.0006501823084635295,0.0030644175048356015,3
2022-03-14,-0.0007728721862620969,-0.030596385941814686,4.1095890410958905e-05,-0.0008139680766730558,-0.030637481832225644,1
2022-03-15,-0.0037706661510200634,-0.04573815146205973,4.1095890410958905e-05,-0.0038117620414310225,-0.04577924735247069,1
2022-03-16,0.0020380434782607537,0.04324225139138105,4.1095890410958905e-05,0.0019969475878497947,0.04320115550097009,1
2022-03-17,0.0008716707021791947,0.019637393977643747,4.1095890410958905e-05,0.0008305748117682358,0.01959629808723279,1
2022-03-18,0.0006773756531834874,0.006655999548433877,0.0001232876712328767,0.0005540879819506106,0.006532711877201001,3
2022-03-21,0.0023208587177254714,-0.0016774413718910752,4.1095890410958905e-05,0.0022797628273145123,-0.001718537262302034,1
2022-03-22,-0.0005788712011576269,-0.000810308969126261,4.1095890410958905e-05,-0.0006199670915685859,-0.00085140485953722,1
2022-03-23,0.0009653441451875633,0.00498729230288375,4.1095890410958905e-05,0.0009242482547766043,0.004946196412472791,1
2022-03-24,-0.0005786478927571892,-0.005895287600139243,4.1095890410958905e-05,-0.0006197437831681481,-0.005936383490550202,1
2022-03-25,-0.00038598861333583034,-0.018049017924162136,0.0001232876712328767,-0.000509276284568707,-0.018172305595395014,3
2022-03-28,-0.003957910995269764,-0.006254027057418177,4.1095890410958905e-05,-0.0039990068856807235,-0.006295122947829136,1
2022-03-29,-0.0003876720294629932,-0.0034524084238070074,4.1095890410958905e-05,-0.00042876791987395206,-0.0034935043142179665,1
2022-03-30,0.001066511537715531,0.029015631071011683,4.1095890410958905e-05,0.0010254156473045721,0.028974535180600725,1
2022-03-31,0.0017433414043583895,-0.007405116980237492,4.1095890410958905e-05,0.0017022455139474306,-0.007446212870648451,1
2022-04-01,0.0015469399593928124,0.012684422059904055,0.00020547945205479453,0.0013414605073380178,0.01247894260784926,5
2022-04-06,0.0015445506323004121,-0.0028803659733809273,4.1095890410958905e-05,0.0015034547418894533,-0.0029214618637918863,1
2022-04-07,-0.0004819277108435438,-0.012838494380102428,4.1095890410958905e-05,-0.0005230236012545027,-0.012879590270513386,1
2022-04-08,9.643201542908209e-05,0.005147680271206712,0.0001232876712328767,-2.6855655803794624e-05,0.005024392599973835,3
2022-04-11,-0.0009642271719215723,-0.030891940655014438,4.1095890410958905e-05,-0.001005323062332531,-0.030933036545425396,1
2022-04-12,0.0005790946819803633,0.01948805609503812,4.1095890410958905e-05,0.0005379987915694044,0.01944696020462716,1
2022-04-13,-0.00019291984180569433,-0.009625828417491822,4.1095890410958905e-05,-0.00023401573221665324,-0.00966692430790278,1
2022-04-14,0.0003859141341051586,0.01252045721745132,4.1095890410958905e-05,0.00034481824369419974,0.012479361327040361,1
2022-04-15,0.004339859195679585,-0.0006730654806922365,0.0001232876712328767,0.004216571524446709,-0.0007963531519251132,3
